Filename;ActivityName;Location;ReferenceProduct
b4175e51-6158-58c1-aa7a-b357aec9aff4_ccc1fbd3-3877-43b6-a845-0c2ed8359c29.spold;transport, freight, lorry 3.5-7.5 metric ton, EURO6;RoW;transport, freight, lorry 3.5-7.5 metric ton, EURO6
96b884e5-7e7c-5505-a98c-7a17c6135bd1_f459d1d1-8aa9-42d2-8aba-6719daa39575.spold;wheat production, organic;RoW;wheat grain, organic
15173a03-8a2e-59e0-934e-437cc5802e87_8f082e64-e307-450f-ba63-d07e65ab4954.spold;market for sawnwood, board, hardwood, raw, dried (u=10%);RoW;sawnwood, board, hardwood, raw, dried (u=10%)
70258cca-a435-5684-907c-d8a6bd8d6646_11bd64cc-4415-44e4-8cf0-edde6adc6b46.spold;2-methyl-2-butanol production;RoW;2-methyl-2-butanol
70b26b03-0bc4-56b5-99e3-56a37593d3c9_66c93e71-f32b-4591-901c-55395db5c132.spold;market for electricity, high voltage;BJ;electricity, high voltage
e6716cb8-68be-5dc8-b155-45d9bfc69530_a437eaa8-7560-4075-a24d-dd8534517845.spold;stucco production;CH;stucco
b6f1ed04-e337-5956-a52a-a3e0d3e22c99_fa18a7ed-8078-4d8b-8bd6-3d9a94ab0a5f.spold;natural stone plate production, polished;CH;natural stone plate, polished
a6dafbb5-773d-5756-b352-9b3d698e1028_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity voltage transformation from medium to low voltage;GT;electricity, low voltage
d4eec49c-a8dc-50f5-bcf3-63d2fae28e8a_83b9ad6d-7c88-4559-9012-a2e4fae07d59.spold;milking;CH;milking
28039f57-68ee-5915-bf73-923961a8de05_dc763799-ba2f-46a0-9b15-9cbd9d61139d.spold;electric arc furnace secondary metallurgy slag, for recovery to generic market for supplementary cementitious materials;RER;supplementary cementitious materials
51c833e0-6d66-5b0f-9d41-74c83e58ddba_30766ef3-4fdb-4156-aacc-4824c216a0cd.spold;trichloromethane production;RER;trichloromethane
dba25114-3d3d-5a49-88d8-018481dec94e_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hydro, run-of-river;CA-AB;electricity, high voltage
a7055705-548f-5f68-91de-0f30ad419cb3_6f2eb438-cde2-4d07-a770-d023a988a9c4.spold;market for waste wood, untreated;SK;waste wood, untreated
93976d25-84a1-5802-9914-16fd71536113_1ff7f238-0259-4b52-8c62-503a50be5a46.spold;market for ethoxylated alcohol (AE3);RoW;ethoxylated alcohol (AE3)
46149ef7-0a24-5733-b9da-06c1cd16abeb_66c93e71-f32b-4591-901c-55395db5c132.spold;market for electricity, high voltage;IL;electricity, high voltage
ee123b47-c2c4-5df6-a71b-a6e13f06c300_96ccc771-7345-49cc-9f6f-97acca93b59b.spold;market for ash, from combustion of straw;GLO;ash, from combustion of straw
64c92d72-f8d7-53ea-a253-a299a6ade8ed_42b1c202-8308-422e-bfb7-3efe54dfcef6.spold;market for waste glass sheet;CH;waste glass sheet
a703394a-2149-51a6-a558-a995ace45422_7c0b2d16-b8d5-41cc-8e76-923e7255f7cd.spold;market for sewage sludge, 75% water, WWT, WW from tube collector production;GLO;sewage sludge, 75% water, WWT, WW from tube collector production
a0b7a320-57cc-5f16-bd81-2e3b845449de_4dd034b4-e9bb-4464-bddc-a4dedfcf7f61.spold;market for air separation facility;GLO;air separation facility
67591af1-5c48-5c63-9f3a-f112982ca5ab_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, wind, <1MW turbine, onshore;CN-XJ;electricity, high voltage
7daee0c7-3e6f-5c30-995e-69c468f8717b_113b50d5-d900-4fbf-adde-c69b662b6834.spold;market for fibreboard, soft;RoW;fibreboard, soft
ef0e1109-3daf-591e-97c0-138935589a9a_7cb72345-4338-4f2d-830f-65bba3530fdb.spold;maize grain, feed to generic market for energy feed;RoW;energy feed, gross
c39a1228-a3a9-55c0-bd3d-7d3adc09c6a9_e6c090d7-8dd0-494c-8619-cfe18c079316.spold;treatment of used blower and heat exchange unit, central, 600-1200 m3/h;RoW;used blower and heat exchange unit central, 600-1200 m3/h
c90f3564-d79d-5ec4-b999-c9d8adff7eb5_637ee275-a239-4dcb-b084-abfa110dd65b.spold;treatment of waste textile, soiled, municipal incineration with fly ash extraction;CH;electricity, for reuse in municipal waste incineration only
7381784c-5d2c-50ca-9f45-c5de14b1e4b1_c3fd9530-3e9b-44b5-8833-9e544937a6e9.spold;packaging glass production, white;RER w/o CH+DE;packaging glass, white
d8ad16d2-757f-5826-9b61-36c4e23d8f9e_f5e266fc-4b6a-4514-812c-605cc74f3d35.spold;market for sodium perchlorate;GLO;sodium perchlorate
106d165b-6b4c-5024-a898-a69c9f00913f_23ff52d3-06a2-4d3a-8039-cfeb12f7cb9a.spold;sulfite pulp production, bleached;RER;sulfite pulp, bleached
0e388b3c-df03-5006-b6e2-36b0b88de20c_d51e5a32-c20a-4da6-8d58-31f344b50c00.spold;market for waste graphical paper;BG;waste graphical paper
bd5be92b-f323-5bb6-a7c2-c758d06d1e28_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;electricity voltage transformation, residual mix, from high to medium voltage;BE;electricity, medium voltage
3173f3f5-439d-599b-9d18-c407e6e5d997_53ec78cd-0c3d-4e52-9664-9046d0786087.spold;market for clover seed, Swiss integrated production, at farm;GLO;clover seed, Swiss integrated production, at farm
1d4e30c0-a0fd-5843-b932-ef88f02c6994_66c93e71-f32b-4591-901c-55395db5c132.spold;treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal;BR-North-eastern grid;electricity, high voltage
1a2a9b40-ff58-5495-8836-d3b5133228dd_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;heat and power co-generation, oil;UA;heat, district or industrial, other than natural gas
9ca25ad0-82d2-53e7-a53c-3fa1b5a1ae0b_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, import from SE;PL;electricity, high voltage
8a6b4407-54b5-5647-baea-dd6ede4bd36a_6eb8dc11-5ac4-4538-a1f1-95463b640ea5.spold;energy and auxilliary inputs, metal working factory, with heating from natural gas;RER;energy and auxilliary inputs, metal working factory
80a434e5-fd7b-58b5-9943-1e5062edc6ed_7ee0ddc3-924d-4339-b9bf-7856af6a698f.spold;market for waste polyethylene;PT;waste polyethylene
ed894be3-55df-55fc-b99b-75f10ea1a75b_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;electricity voltage transformation from high to medium voltage;LK;electricity, medium voltage
ca6c3b18-130c-5d1e-847f-121ff138c112_3e914ece-73a4-4769-9d14-eab87b6d1fc1.spold;transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO4, carbon dioxide, liquid refrigerant, cooling;GLO;transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO4, carbon dioxide, liquid refrigerant, cooling
1df21e6c-b72c-55c0-9a5c-a5c6460b4875_c9c7df16-c138-4687-9ff7-257aad65276d.spold;potassium nitrate production, agricultural grade;CL;purge gas, rich in sodium nitrate
654d1bfb-3985-581a-8847-be7bb2c5cf0a_f65d3dbd-ab3c-4636-9714-a651100cba65.spold;sodium chloride to generic market for de-icer;GLO;de-icer
b5b9b495-7380-51e1-b7bf-e4538173d785_e53a275d-a2c3-40d4-8dc0-df01de6068c9.spold;ethylene glycol production;RER;triethylene glycol
2a0f079a-bb4d-519b-b3f6-a9b7dcd4ada2_f3a6095a-d689-5bcf-8bd9-6ae701313632.spold;market for polyethylene, high density, granulate, recycled;RoW;polyethylene, high density, granulate, recycled
f32e955e-b2d3-5bba-81d3-d27f0ddbba80_66c93e71-f32b-4591-901c-55395db5c132.spold;market for electricity, high voltage;MM;electricity, high voltage
93fb7021-981d-5f08-b019-68b4d1d3ae75_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, oil;AT;electricity, high voltage
627e3219-169f-53a5-8276-c43c41de3078_9b1c31ff-2e61-4e5f-957c-1452378729ad.spold;carton board box production service, with gravure printing;RoW;carton board box production, with gravure printing
5099e625-472e-543a-ad92-4b78ecf88464_8c3b8032-b310-4dfe-9a9b-93fbd369142d.spold;market for metal working, average for aluminium product manufacturing;GLO;metal working, average for aluminium product manufacturing
92b38fee-ac8f-5dad-bb83-83f663a070b7_0a6c7524-9e23-41b8-ac7b-b0489ed4681c.spold;photovoltaic laminate production, CdTe;RoW;glass cullet, sorted
66f1558b-4fd7-5fba-aec5-275987d06bef_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, import from PA;CR;electricity, high voltage
ea3cd28d-9f5d-5362-9cdc-218ec136fa07_7c4dafff-fe18-45c0-92e4-857950032abb.spold;market for inorganic potassium fertiliser, as K2O;US;inorganic potassium fertiliser, as K2O
bfbf128a-de95-5fd2-84fa-45e5745a03cd_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hydro, run-of-river;CN-HL;electricity, high voltage
43b46cfc-82bb-57ff-9339-2d6223a201bf_53c35893-3698-4819-8994-b5484cf379b3.spold;market for alkyd resin, long oil, without solvent, in 70% white spirit solution state;RER;alkyd resin, long oil, without solvent, in 70% white spirit solution state
12795855-1759-5316-89ab-b8097cfcc740_fbb039f7-f9cc-46d2-b631-313ddb125c1a.spold;treatment of copper scrap by electrolytic refining;RoW;copper, cathode
9653000c-3bd4-5564-b9d8-9774336eafba_def118a0-432e-41c8-aa67-3e0e5124dee3.spold;laser machining, metal, with YAG-laser, 60W power;CA-QC;laser machining, metal, with YAG-laser, 60W power
4c5c29b3-683f-5103-9c94-255f2b1fc5f4_45fbbc41-7ae9-46cc-bb31-abfa11e69de0.spold;treatment of waste sealing sheet, polyvinylchloride, municipal incineration;RoW;heat, for reuse in municipal waste incineration only
bc8c1fa0-2265-572a-9fc2-656b074aeb3b_66c93e71-f32b-4591-901c-55395db5c132.spold;treatment of blast furnace gas, in power plant;ES;electricity, high voltage
2387614e-c106-5f07-b5ed-97038f698f13_3ce1a817-4ae8-4edc-bf8b-cb1b5d853410.spold;packaging film production, low density polyethylene;RER;packaging film, low density polyethylene
3cc0bb7c-f26c-5fbb-bbc7-c3a485678c02_4c2b6470-79f6-40e4-b6c0-08a769c9ab04.spold;maleic anhydride production by direct oxidation of n-butane;RER;maleic anhydride
43b3c794-a2f6-56f6-ad64-832663db9f2f_aecd9597-ca42-49be-b98b-97ab87058f50.spold;market for tomato seedling, for planting;GLO;tomato seedling, for planting
2b9f8c93-2d38-55ac-8e9d-99251364f5f3_0451c9ba-5f09-4e23-a8b4-3d7ee441a6fc.spold;blast furnace sludge to market for blast furnace sludge, for recovery;RoW;blast furnace sludge
8616bbe4-b9ef-5a9d-9eb0-e005782d4419_d69294d7-8d64-4915-a896-9996a014c410.spold;heat and power co-generation, natural gas, 160kW electrical, lambda=1;Europe without Switzerland;electricity, low voltage
df023eb5-9595-5ec9-8806-850ea958b5d0_45fbbc41-7ae9-46cc-bb31-abfa11e69de0.spold;treatment of waste wire plastic, municipal incineration with fly ash extraction;CH;heat, for reuse in municipal waste incineration only
e5d9bd6d-3b23-5342-9cf7-64a11861a036_d3d23054-a030-4284-9cfb-c464e70ec865.spold;treatment of coal gas, in power plant;GB;coal gas
c8e41c60-0d4a-5406-90bd-2a4d516653e7_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;heat production, softwood chips from forest, at furnace 300kW;RoW;heat, district or industrial, other than natural gas
327ddb49-2362-5f8f-b739-0935a36eea79_4f312355-ac65-4635-8fb2-006dba64ce60.spold;treatment of wastewater from vegetable oil refinery, wastewater treatment;GLO;iron scrap, sorted, pressed
65232f48-5731-5d7e-b3ef-a979640c2558_4f312355-ac65-4635-8fb2-006dba64ce60.spold;treatment of residue from mechanical treatment, liquid crystal display, municipal waste incineration;RoW;iron scrap, sorted, pressed
b01bdb0b-1575-5e77-a253-65f638d64b2f_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;CN-GX;electricity, low voltage
67319dbd-e3f1-5e22-a06c-fcd67ac51a00_444d81a0-13e0-41a4-8f63-e691b0133c04.spold;wire drawing, steel;RER;wire drawing, steel
efba42e1-1615-515a-8182-3cda092c3efc_dd80f0f2-f4d5-40f0-9035-09c1a7f3f07b.spold;heat and power co-generation, biogas, gas engine;CA-NS;heat, central or small-scale, other than natural gas
f86326d0-52e7-5517-8444-269bfb3ba947_02dfba07-7533-4d54-a1f3-478ae9314a09.spold;onshore well production, oil/gas;GLO;onshore well, oil/gas
1b0473bf-bc66-51d8-a3f9-2e0ef21860e9_dd80f0f2-f4d5-40f0-9035-09c1a7f3f07b.spold;heat and power co-generation, biogas, gas engine;DK;heat, central or small-scale, other than natural gas
7891566d-c534-50fd-bab3-b281e6757508_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity voltage transformation, residual mix, from medium to low voltage;DE;electricity, low voltage
5e2eeb9c-d672-568c-851d-574ad23f79ff_42baed81-24d1-4aed-a120-cc7d35ddac10.spold;market for waste paperboard;FR;waste paperboard
0b39f4f8-fa60-5aff-a4b1-a8fd30518031_66c93e71-f32b-4591-901c-55395db5c132.spold;heat and power co-generation, hard coal;UA;electricity, high voltage
6b3d474a-af22-559c-8458-4839d494658e_f1349f22-f459-4472-90e8-c3d10c737dc5.spold;market for heat, central or small-scale, Jakobsberg;CH;heat, central or small-scale, Jakobsberg
c39e0bf4-f222-5e36-bdca-15b71a2f9b8b_45fbbc41-7ae9-46cc-bb31-abfa11e69de0.spold;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;heat, for reuse in municipal waste incineration only
2f206c9e-3b81-584b-9cdc-0346a08916fd_66c93e71-f32b-4591-901c-55395db5c132.spold;market for electricity, high voltage;RS;electricity, high voltage
52a7f461-90db-57c8-9075-d06ca0950428_8b2dfb58-660d-44eb-b83f-5d9e28e467db.spold;maize grain, feed to generic market for energy feed;ZA;protein feed, 100% crude
65cde695-b791-5acd-aebe-e263b31c6c67_45fbbc41-7ae9-46cc-bb31-abfa11e69de0.spold;treatment of waste vapour barrier, flame-retarded, municipal incineration;RoW;heat, for reuse in municipal waste incineration only
ecfc0c92-d2a1-5a2e-9b6e-9455d388958b_48df8170-d31a-4d9f-856c-91a1529a0a69.spold;strawberry production, in heated greenhouse;CH;strawberry
2f8ec48a-1615-5374-bfe0-59c1f836a6bc_3048e9c8-5d53-4b1c-a6b6-70237cb916c5.spold;market for cement, CP II-F;BR;cement, CP II-F
53dba9e7-a2b4-5a8c-aa02-6edc13069e3d_00478901-732f-4bf4-81cc-2255f9874512.spold;market for waste polypropylene;IS;waste polypropylene
5ed221f4-6cc7-578a-899c-6078f9f0ebb2_42d2fd94-f9c8-4903-ac72-a4fe5af22233.spold;market for wastewater from PV cell production;RoW;wastewater from PV cell production
31b7bb26-86ee-52d9-80f3-147cdf0d3f20_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;market for electricity, medium voltage;NP;electricity, medium voltage
f3698b73-ca28-5bb4-8393-f7d6fca5f2c2_02dfba07-7533-4d54-a1f3-478ae9314a09.spold;market for onshore well, oil/gas;GLO;onshore well, oil/gas
b9d5476e-33dc-54b5-8f34-199739b12077_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, natural gas, combined cycle power plant;PT;electricity, high voltage
40ec40c9-1927-583b-b239-462c2f320dd3_c3c7fe25-71c0-4c57-bf6e-a7b781ee0a6c.spold;transport, freight, small lorry with refrigeration machine, EURO5, CO2 refrigerant, freezing to generic market;GLO;transport, freight, lorry with refrigeration machine, freezing
35a26b54-5ddf-565f-8491-6fc6e188d24a_8931016e-3e07-5c9a-91a6-cd85b90a2aaa.spold;land already in use, annual cropland to pasture, man made;BR-MT;land tenure, arable land, measured as carbon net primary productivity, pasture, man made
7c06cce3-c62a-550a-84b5-b5932af136de_5f855941-74ab-4d1d-9128-c52f680dc86e.spold;white spirit production, petroleum refinery operation;Europe without Switzerland;white spirit
e1e60029-9155-5d14-9e42-65473dcd8df2_d7432632-40dc-4af8-8125-cb70dd9742c5.spold;weaned calves production on native and planted pasture, Pantanal;BR;iron scrap, unsorted
8d6c68dc-3b8b-572c-8434-46e05489e191_eb72aeaa-98bd-49aa-a94b-0f63f310c62a.spold;treatment of used window frame, wood, collection for final disposal;RoW;used window frame, wood
f6b524c0-0f66-583c-8a51-2c21a47721b3_88afd721-07ec-4910-a004-fa3fecb6bf70.spold;treatment of waste plastic, mixture, municipal incineration;CH;waste plastic, mixture
abd0cbfe-e916-5f8c-9b0f-5404989efe6e_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, import from DE;PL;electricity, high voltage
0acb43d2-2d0b-5ae5-9248-8af219eafee8_13d4a7c7-88b3-479c-b57c-1f6a22f0a24d.spold;market for sewage sludge, 70% water, WWT, WW from pig iron production;Europe without Switzerland;sewage sludge, 70% water, WWT, WW from pig iron production
56ffcd0d-c688-5d1a-b5a3-49107b253a94_b0176c67-5bc0-462a-8466-4f372f446f7c.spold;market for waste polystyrene;NL;waste polystyrene
f05b2d5d-cba6-53f1-8c81-95cbd05906c3_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity voltage transformation from medium to low voltage;LU;electricity, low voltage
652b8d41-10dd-5cd5-9c62-3315922c294c_5c77149d-00f4-4d78-9977-7b6eb2e89411.spold;market for used room-connecting overflow element steel, approx. 40 m3/h;RoW;used room-connecting overflow element steel, approx. 40 m3/h
0e7b864a-e36a-5c69-b572-63702dbb1b6d_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;electricity, medium voltage, residual mix;IE;electricity, medium voltage
aaeeafb9-53c3-5b10-83dd-5c2ddcb84c37_77282160-5a7e-4a84-9ba1-b0d81e14f10a.spold;tillage, hoeing and earthing-up, potatoes;CH;tillage, hoeing and earthing-up, potatoes
01847c5e-568d-5e88-827f-06001679af8d_dc1ed0ff-fbaa-47a1-8962-4faff492788f.spold;market for propylene glycol, liquid;RoW;propylene glycol, liquid
f67185da-ebbe-54b3-bbeb-57de0cf777af_45fbbc41-7ae9-46cc-bb31-abfa11e69de0.spold;treatment of waste cement-fibre slab, dismantled, municipal incineration with fly ash extraction;CH;heat, for reuse in municipal waste incineration only
b374b03a-2cda-5db4-967c-c48c0ad50aaa_d218fa09-3958-455e-8e4b-abfa1132af93.spold;treatment of sulfidic tailings, from silver mine operation, tailings impoundment;AU;sulfidic tailings, from silver mine operation
68dd2a79-7a69-558a-bb17-24d6d2f4ee0c_c5adb1fb-872e-4446-a3bb-c4b61aa4bd45.spold;tap water production, underground water without treatment;CH;tap water
c5522d47-52f8-588b-974d-992863ded195_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, import from TG;GH;electricity, high voltage
