Filename;ActivityName;Location;ReferenceProduct
30a76bcb-7cfe-52db-9f8f-fd8a97b543d0_b2011f87-e037-4f68-8dec-6d8e6de4ae25.spold;treatment of waste concrete gravel, sorting plant;RoW;waste concrete gravel
0d165741-7e45-59d0-8636-86c08c3c83da_c5adb1fb-872e-4446-a3bb-c4b61aa4bd45.spold;market for tap water;CA-QC;tap water
51d12df9-0839-572f-8ffd-d72b2477f3cb_6b319ca2-4f45-4fe8-8b44-c2180a59a928.spold;zirconium and hafnium tetrachloride production, from zircon;US;hafnium tetrachloride
0256750c-e008-5853-b01d-88116363e5c1_8d7c013a-5aca-44d7-8fc4-193844d2953a.spold;market for waste packaging paper;HU;waste packaging paper
140cdaec-9a91-5f44-a960-4b0d09e9d9b6_588a2007-5fa7-45eb-9572-8addeb984539.spold;treatment of decommissioned pipeline, natural gas, inert material landfill;CH;decommissioned pipeline, natural gas
80a66ac7-5bfa-5a80-af18-bbcca6e2cac6_4fcfb407-7879-42ad-9582-ab3fbfe5af10.spold;market for electricity, medium voltage, aluminium industry;CN;electricity, medium voltage, aluminium industry
1e008604-310a-5e42-bcbd-e99b61883f9b_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity voltage transformation, residual mix, from medium to low voltage;FR;electricity, low voltage
a218cbc7-5941-52ba-aeef-0919156e2d31_c6dd4cd2-cacd-40ed-b2b5-9c54cc21cee6.spold;market for process-specific burdens, municipal waste incineration;CH;process-specific burdens, municipal waste incineration
b1cebf5e-21da-5819-ab1a-d456f766ffb6_06b8d05b-e1e6-427b-929c-bb55e84e7c08.spold;ammonia production, steam reforming, liquid;RoW;ammonia, anhydrous, liquid
67f50963-0a26-504c-ac61-6830ad729a8b_ee8b9319-f0d0-4713-9478-0a0fd0596095.spold;generator production, mini CHP plant;CH;generator, mini CHP plant
d2d9adaa-6f48-534a-9b0e-d6e14057ac97_2abad111-1d83-4c3b-995d-190734da88bc.spold;market for sewage sludge, 97% water, WWT, WW from wafer fabrication;RoW;sewage sludge, 97% water, WWT, WW from wafer fabrication
8cfda2d7-5a0a-5573-93f5-4e90f04b4906_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;CN-GD;heat, district or industrial, other than natural gas
ea3d3c41-2e8f-5265-9508-4fc4cedefc19_82fc8ffd-e1f4-4a11-ac26-6734d9b2fe89.spold;treatment of filter dust from Al electrolysis, residual material landfill;RoW;filter dust from Al electrolysis
2dcbfc18-8660-5c9c-a998-ca99b383ccc5_1125e767-7b5d-442e-81d6-9b0d3e1919ac.spold;heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;ES;heat, district or industrial, natural gas
cf633354-7820-52b7-bd90-1766f5a1ecd3_bd061b71-270b-4644-9e14-6c59b2e4090d.spold;market for transport, freight, lorry 3.5-7.5 metric ton, EURO2;ZA;transport, freight, lorry 3.5-7.5 metric ton, EURO2
65714f8b-8fe5-5d05-8494-90048a7ca30b_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity voltage transformation from medium to low voltage;US-MRO;electricity, low voltage
1d469a17-634b-5889-850f-9b6330f33db2_16fca750-330e-5aba-98f9-c87b3639c934.spold;market for sewer grid, rural;GLO;sewer grid, rural
2cc5f202-673d-5d8d-a6b0-a10fedf4fb5c_96601c52-3d6a-4f6d-a657-5c4cc8c16453.spold;window frame production, wood, U=1.5 W/m2K;CA-QC;window frame, wood, U=1.5 W/m2K
ecf5f55e-f655-5d69-9f68-1b90c2e9960e_637ee275-a239-4dcb-b084-abfa110dd65b.spold;treatment of biowaste, municipal incineration;GLO;electricity, for reuse in municipal waste incineration only
50a104fd-a140-5841-be86-e9b37555fa89_1458c180-5333-475e-88d2-7886d76e779e.spold;lath, softwood, raw, kiln drying to u=20%;RoW;sawnwood, lath, softwood, raw, dried (u=20%)
2f6b7225-6b48-5277-b66e-7706e3a2785e_4f1ce3fd-3aaf-5886-a81a-088a18d16ed6.spold;mepiquat chloride production;GLO;mepiquat chloride
d8c6ec59-da65-5839-93da-21f6d4ff15eb_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, wind, 1-3MW turbine, onshore;EE;electricity, high voltage
b094ec07-94d8-53ac-b069-9a4aaab43683_b3c58f5d-5815-487c-8b9c-4366e00d22dc.spold;heat production, natural gas, at boiler fan burner low-NOx non-modulating <100kW;Europe without Switzerland;heat, central or small-scale, natural gas
e5e9d4f3-afea-57ef-ac10-7c8ea6aa9bc8_c3c7fe25-71c0-4c57-bf6e-a7b781ee0a6c.spold;transport, freight, small lorry with refrigeration machine, EURO6, R134a refrigerant, freezing to generic market;GLO;transport, freight, lorry with refrigeration machine, freezing
c7bd4168-3196-5148-be39-9157b1491a31_a636ed9e-f90a-48cb-a180-c75b1fc92cf1.spold;market for pig iron;RoW;pig iron
dc0f294b-2c99-539f-b197-bc85f22543f4_cbcd0e88-5e08-4e2a-8353-ae6a4ba53ce2.spold;market for photovoltaic mounting system, for 570kWp open ground module;GLO;photovoltaic mounting system, for 570kWp open ground module
fa697b4e-d4b6-5210-aead-8929d3917dde_ffcb8cbb-77ab-4f87-8a94-87ca5b8ea79e.spold;sugarcane processing, traditional annexed plant;CO;ethanol, without water, in 95% solution state, from fermentation
2f07326d-e3bc-5155-925e-72b06dd8c908_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, lignite;IN-MP;electricity, high voltage
b8722ea3-097a-5918-9949-e2cc2bfe66a0_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;market for electricity, medium voltage;IE;electricity, medium voltage
0104bd61-0463-5e07-97c9-01a9b6b33ec3_f5707bdf-f7e2-479b-b3ea-99c04de8a927.spold;market for inorganic nitrogen fertiliser, as N;IN;inorganic nitrogen fertiliser, as N
931632d3-a069-5df3-8f96-3bd9f393d6ea_66c93e71-f32b-4591-901c-55395db5c132.spold;heat and power co-generation, biogas, gas engine;NO;electricity, high voltage
ee957c46-6020-5841-85b0-22317daa608d_65ecbbf5-47f8-49e9-97ec-ab54f36792b0.spold;market for bottom ash, MSWI[F]-WWT, WW from LCD production;CH;bottom ash, MSWI[F]-WWT, WW from LCD production
08404a56-efaf-592f-903f-a2e74f627fa0_66c93e71-f32b-4591-901c-55395db5c132.spold;heat and power co-generation, biogas, gas engine;LV;electricity, high voltage
1e214de7-4624-51c2-98e2-555471ab9266_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, solar thermal parabolic trough, 50 MW;US-WECC;electricity, high voltage
78b059a4-9aeb-5bec-9b78-155b8c2dd4be_cfd1f29d-c9dc-45d5-b0e1-8b2f37effd58.spold;market for wastewater from tube collector production;RoW;wastewater from tube collector production
dbbfedea-1a21-57b1-b6dc-3bb260b4a832_00478901-732f-4bf4-81cc-2255f9874512.spold;market for waste polypropylene;PT;waste polypropylene
abcd52cd-ae2a-514a-b7f3-074a91475fe6_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hydro, run-of-river;CZ;electricity, high voltage
819c04be-fe17-54c5-bf19-f5f6ca35dccf_a5d022c6-c879-416a-bb1a-51b8c2c87bb1.spold;EDTA production;RER;EDTA, ethylenediaminetetraacetic acid
862f209c-13c9-5499-a9a8-acb178e300ad_9b9edcf3-0539-4642-9516-0df642a5c41a.spold;land already in use, annual cropland to perennial crop;ES;land tenure, arable land, measured as carbon net primary productivity, perennial crop
81be648a-f998-5da4-ab04-1f0712d4354d_8c6447d2-fbe1-49dd-8a29-8b3c843e719f.spold;market for maintenance, mini CHP plant;GLO;maintenance, mini CHP plant
42436b27-bcfc-5d4f-af43-85dc7f6a533d_ee8d31fc-f67f-43b2-910d-172880730b28.spold;market for welding, gas, steel;GLO;welding, gas, steel
53febdf1-1daf-51c7-b302-a777e0400649_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, import from CN-NECG;CN-NWG;electricity, high voltage
dc077910-c25f-5c19-b91e-a5c2b8188391_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hydro, pumped storage;CN-SC;electricity, high voltage
b3449222-4b46-5289-ae8f-52731a7597f8_66c93e71-f32b-4591-901c-55395db5c132.spold;market for electricity, high voltage;DE;electricity, high voltage
bd9159c6-6b31-5384-bdc1-b6530ff403aa_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;treatment of sewage sludge, 75% water, WWT, WW from concrete production, sanitary landfill;GLO;heat, district or industrial, other than natural gas
cec92ede-86e5-5a45-89e0-83451ed9270b_845b9f66-4a29-45f9-85d0-8b7fc8df73e4.spold;market for photovoltaic slanted-roof installation, 3kWp, single-Si, panel, mounted, on roof;GLO;photovoltaic slanted-roof installation, 3kWp, single-Si, panel, mounted, on roof
4925e5e5-f76b-5eca-a1c4-a9f8e99e786f_bc835410-f608-4bc1-90f6-811fab8c5b0d.spold;heat and power co-generation unit construction, 1MW electrical, components for electricity only;RER;heat and power co-generation unit, 1MW electrical, components for electricity only
d7c11e53-b1b9-5385-b379-97792db9245a_f5707bdf-f7e2-479b-b3ea-99c04de8a927.spold;market for inorganic nitrogen fertiliser, as N;MK;inorganic nitrogen fertiliser, as N
