Filename;ActivityName;Location;ReferenceProduct
9fe11593-cecc-55b8-8e84-4cdcab9d85de_68db7412-ba35-488b-8a45-9a9f48448522.spold;nitric acid production, product in 50% solution state;CN;nitric acid, without water, in 50% solution state
f89215e6-2838-51b3-9e81-316b9d7f2661_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;market for heat, district or industrial, other than natural gas;CH;heat, district or industrial, other than natural gas
3442b204-dc95-5151-92b9-3944da639e20_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;market for electricity, medium voltage;LT;electricity, medium voltage
1e24fa2e-9403-56e1-9804-1e40e794cab8_a38bc59d-71aa-4953-bcfd-503ee77626fc.spold;pipeline construction, natural gas, long distance, high capacity, onshore;GLO;pipeline, natural gas, long distance, high capacity, onshore
986bdb2f-471c-5180-86ca-0aa69d2bfce8_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, oil;HR;electricity, high voltage
c76f5f4d-1352-5829-bf88-794939168c0e_5df09014-2ad5-467a-b48b-82e51d951f93.spold;treatment of used ventilation control and wiring, decentralized unit;CH;used ventilation control and wiring decentralized unit
e3b12e04-80fe-5d0b-b770-f0e07b391a39_d231ffdd-b2ea-43b5-bf4f-90c32e8cf1f1.spold;market for bottom ash, MSWI[F]-WWT, WW from CRT production;CH;bottom ash, MSWI[F]-WWT, WW from CRT production
5c1281fe-5a05-535d-b37f-d5f09a54cb89_66c93e71-f32b-4591-901c-55395db5c132.spold;heat and power co-generation, biogas, gas engine;SI;electricity, high voltage
6f35bb5a-5867-5663-ab17-07960ee59cf9_8837b0f4-b83c-4bdb-9bab-2d01a0aeecff.spold;heat and power co-generation unit construction, 1MWel;RoW;heat and power co-generation unit, organic Rankine cycle, 1MWe, 6.4 MWth
a3b10edd-00d6-5efc-9d05-b99822a4c71d_e38adb33-e7d3-46f9-8f46-d4caf9363f04.spold;fuel cell production, solid oxide, 125kW electrical, future;CH;fuel cell, solid oxide, 125kW electrical, future
69e96a00-c4d6-5ac8-b12f-93026062ecac_a9007f10-7e39-4d50-8f4a-d6d03ce3d673.spold;evaporation of natural gas, import from NG;RNA;natural gas, high pressure
cbfa79c4-af18-5cde-852d-b90a163636c1_52a8f3c4-df5d-4f18-830b-985bcd8ac830.spold;market for transport, freight, lorry >32 metric ton, EURO6;RoW;transport, freight, lorry >32 metric ton, EURO6
6f34a5a1-7b41-5a76-b089-c10daeb44d07_63b19600-43b7-42f4-bb72-172da4012027.spold;market for aluminium removed by turning, average, conventional;GLO;aluminium removed by turning, average, conventional
7c9f464b-e0bb-57df-8498-36212c6cdc4d_eb266390-532c-4f14-ba91-a1e1b688cf5c.spold;concrete, all types to generic market for concrete, medium strength;RoW;concrete, medium strength
4f1c0c23-4796-50be-8eaf-dcc13f57fc93_1363cd8b-ecb7-476c-a454-529acb788bb2.spold;transport, regular bus;CH;transport, regular bus
b19feabc-f148-5abd-b09a-d1b2c09d329c_291fc06d-1b3e-4077-aabb-346b588ed24b.spold;diesel, import from RoW;PE;diesel
a8853552-ade0-57dd-b759-3ac97f04b781_5ecef96a-aecb-4816-9dfa-2355281e7dbf.spold;intermodal shipping container production, 40-foot, high-cube;GLO;intermodal shipping container, 40-foot, high-cube
