amount;unit;flow;name;location
26.02873250701202;EUR2005;4bd0ac5a-1248-4c82-8dc6-a6fc31a9ec12;green manure growing, organic, until February;RoW
0.67;EUR2005;d479404a-f180-41cc-a587-4425b64e4a00;purified terephthalic acid production;CA-QC
2.0;EUR2005;5bfb6885-a0a0-4f4c-921a-34db393e8dcb;market for cleaning consumables, without water, in 13.6% solution state;GLO
0.0977;EUR2005;66c93e71-f32b-4591-901c-55395db5c132;market for electricity, high voltage;US-NPCC
0.11700000000000008;EUR2005;3f6dada9-2497-4e1c-9e1b-eabafa6920f8;market for barley grain;GLO
0.0106;EUR2005;71e2f1db-a2c5-44d0-8337-dfff15be974d;heat production, hardwood chips from forest, at furnace 5000kW, state-of-the-art 2014;RoW
0.166;EUR2005;a9007f10-7e39-4d50-8f4a-d6d03ce3d673;market for natural gas, high pressure;KZ
2.1;EUR2005;fa6f1b55-8b52-4052-a2c8-0a0ba7a22d17;glass fibre reinforced plastic production, polyester resin, hand lay-up;RER
0.026;EUR2005;0ace02fa-eca5-482d-a829-c18e46a52db4;market group for transport, freight train;RER
0.0977;EUR2005;66c93e71-f32b-4591-901c-55395db5c132;electricity production, wind, <1MW turbine, onshore;CN-BJ
0.0977;EUR2005;66c93e71-f32b-4591-901c-55395db5c132;electricity production, wind, <1MW turbine, onshore;HR
0.0977;EUR2005;66c93e71-f32b-4591-901c-55395db5c132;electricity production, nuclear, pressure water reactor, heavy water moderated;RO
25128.390419279425;EUR2005;e09971fb-f77e-48a3-99a8-4feba6a59bb4;gold refinery operation;RoW
0.0615;EUR2005;8fe6c917-4445-4c51-a103-b52dcca0d7ef;market for cement, ART;CO
0.88;EUR2005;b0ba5ada-4b2a-4a29-b383-bdd78d6bbad6;market for folding boxboard carton;RER
2.073933327006;EUR2005;b47b9c9a-6a79-4a66-a5ac-0ff98a618084;metamitron production;RER
0.503;EUR2005;d2184fe3-da8e-40d0-a15e-f35bc3624d26;market for vegetable oil, refined;GLO
0.0977;EUR2005;66c93e71-f32b-4591-901c-55395db5c132;electricity, high voltage, import from MA;DZ
8.25569697764948;EUR2005;2158c948-5317-40d4-9803-73a47fbcad35;market for cocoons;RoW
12.29017569807794;EUR2005;3410b185-400e-4ffe-8843-c7bdc88124b9;lithium hexafluorophosphate production;CN
100.0;EUR2005;a90c5322-b943-44d1-8f95-bc7e31a72990;market for microwave oven;GLO
0.0977;EUR2005;66c93e71-f32b-4591-901c-55395db5c132;electricity production, hard coal;IT
0.22;EUR2005;0201ee86-f71b-4457-8fe8-79f3ed720b07;wheat production;RoW
0.0977;EUR2005;66c93e71-f32b-4591-901c-55395db5c132;electricity production, oil;CN-XJ
185.0;EUR2005;3fdbecc2-bb86-4c4b-8f5c-7b80e5e365c8;concrete production, 25MPa, for building construction, for interior use, with cement, Portland;North America without Quebec
713.8173394525616;EUR2005;623807b1-021b-4658-a6d8-edf65168b37f;housing system construction, pig, fully-slatted floor;RoW
12.5;EUR2005;ae88c1ea-eafe-4a5c-b49d-181f059058e4;mercury production;GLO
25.75214800241852;EUR2005;3018d5b5-c836-4154-9604-0a3181f31d64;power saw production, with catalytic converter;GLO
0.0977;EUR2005;66c93e71-f32b-4591-901c-55395db5c132;electricity production, hydro, reservoir, non-alpine region;ZA
11588098.33943245;EUR2005;f8ae83ea-deb2-4c09-b416-bf023a39fa85;market for bulk carrier, for dry goods;GLO
0.1;EUR2005;e03dc076-23ea-4705-b9f5-7bba07abd0ae;market for ammonium chloride;GLO
0.5161383860000001;EUR2005;1682a2f6-7521-417f-9e8b-59e0ba5b8983;chloromethyl methyl ether production;RoW
236.0;EUR2005;96601c52-3d6a-4f6d-a657-5c4cc8c16453;window frame production, wood, U=1.5 W/m2K;RoW
26.26820388;EUR2005;6facf9d3-01a6-453a-8b7b-cf72bcf04072;market for transistor, auxilliaries and energy use;GLO
0.4729999999999998;EUR2005;f5707bdf-f7e2-479b-b3ea-99c04de8a927;market for inorganic nitrogen fertiliser, as N;IL
0.0615;EUR2005;c3114933-dc17-4ca6-aaeb-19a9974ae1e7;market for cement, type IS;US
0.3921707150411948;EUR2005;44ab3c7a-66d6-45b1-8e1b-17c9f225d2b6;packaging glass production, green, without cullet;GLO
0.26799999999999996;EUR2005;b89dadb0-75e9-44fd-8d41-1ec8dcce23b6;market for light fuel oil;IN
0.166;EUR2005;a9007f10-7e39-4d50-8f4a-d6d03ce3d673;natural gas, high pressure, import from DE;AT
2.851302177234516;EUR2005;57771ae0-5e8b-47be-bb73-ba59f2bf8cc8;brass production;RoW
185.0;EUR2005;3fdbecc2-bb86-4c4b-8f5c-7b80e5e365c8;concrete production, 25MPa, for building construction, with cement, CEM II/A;RoW
52000000.0;EUR2005;c31e712c-3536-476f-997b-6bca9b530651;thermal storage system construction, solar thermal parabolic trough, 50 MW;RoW
0.0615;EUR2005;ec23da1b-e5fa-4f01-bd2c-3233fece2175;cement, all types to generic market for cement, unspecified;PE
0.192;EUR2005;e6aad2de-0b1b-49c3-a0c4-797ba34d87e5;petroleum and gas production, offshore;MX
0.0977;EUR2005;66c93e71-f32b-4591-901c-55395db5c132;electricity, high voltage, import from UA;MD
5.95;EUR2005;0c826417-e870-4c43-95c4-b38ff2ff47d2;excavation, hydraulic digger;RoW
0.0977;EUR2005;66c93e71-f32b-4591-901c-55395db5c132;electricity production, oil;ID
2.29046589606455;EUR2005;e8ce7dac-b45a-4dd3-b978-3a4bcb1152f4;aluminium milling, dressing;RoW
0.473;EUR2005;f5707bdf-f7e2-479b-b3ea-99c04de8a927;nutrient supply from calcium ammonium nitrate;RoW
0.107;EUR2005;d69294d7-8d64-4915-a896-9996a014c410;market for electricity, low voltage;UZ
0.107;EUR2005;d69294d7-8d64-4915-a896-9996a014c410;electricity production, photovoltaic, 3kWp facade installation, single-Si, panel, mounted;RoW
6.3725583708446285;EUR2005;1b4271d3-3426-4fbf-be9c-705e50c87f94;market for tillage, currying, by weeder;GLO
0.001651130659117256;EUR2005;12beeeef-5f97-45c3-89ae-6174be37eb41;operation, reefer, cooling, 40-foot, high-cube, R134a as refrigerant;GLO
