amount;unit;comment;flow;name;location
0.107;EUR2005;Temporary price data. Calculated as 90% of purchasers price based on: 94% of the average price (to account for a 6% loss in transformation and transmission) for electricity for industrial consumersin 2005 (excluded taxes). From IEA.;d69294d7-8d64-4915-a896-9996a014c410;electricity voltage transformation from medium to low voltage;HR
0.0977;EUR2005;Temporary price data. Calculated as 90% of purchasers price based on: 94% of the average price (to account for a 6% loss in transformation and transmission) for electricity for industrial consumersin 2005 (excluded taxes). From IEA.;66c93e71-f32b-4591-901c-55395db5c132;treatment of blast furnace gas, in power plant;CN-HA
0.02399;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;cfbce515-3f54-4411-ad9d-3d26b7faa15a;market for transport, freight, lorry, unspecified;RoW
0.161;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;63c4c66f-3371-41b6-b6b8-70dfa92d5c1d;transport, passenger, electric bicycle, label-certified electricity;RoW
0.107;EUR2005;Temporary price data. Calculated as 90% of purchasers price based on: 94% of the average price (to account for a 6% loss in transformation and transmission) for electricity for industrial consumersin 2005 (excluded taxes). From IEA.;d69294d7-8d64-4915-a896-9996a014c410;electricity voltage transformation from medium to low voltage;PT
0.805;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application. Cross-reference: The consumer price for alkylbenzene sulfonate, linear, petrochemical is 269.38 EURO for 1kg. (https://www.fishersci.com/shop/products/linear-alkylbenzene-sulfonate-las-standard-1ml-1mg-las-1000ppm-las-ricca-chemical-2/p-3251866 , accessed 20160421);29026153-01e0-4b94-9ba5-173e3986ed08;market for alkylbenzene sulfonate, linear, petrochemical;GLO
0.034;EUR2005;Data on Import/Export (USD/kg) from UN data has been used. (http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code%3a45, [accessed 10th June 2010]) Commodity: 'Sawdust, wood waste or scrap'. A density of 250 kg/m3 was used to convert from M3 to kg (data on density: http://wiki.answers.com/Q/What_is_the_density_of_sawdust, [Accessed 13 June 2010]).;2c9486c9-1fc4-4535-a296-cd8f3bc0e1cd;bark chips production, hardwood, at sawmill;RoW
0.62;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;a2193d6a-1c79-42de-aa16-355543601b4e;liquid manure spreading, by vacuum tanker;CH
2.83;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;d5863802-d93f-4c5e-a028-bc34668ef3c5;market for machine operation, diesel, >= 74.57 kW, low load factor;GLO
0.035;EUR2005;Convert from EU 27 price to the world by currency exchange rate.;ed25f589-c6c8-56a7-a518-b01dd3e8a453;market for waste polyethylene, for recycling, sorted;Europe without Switzerland
1.63;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application. Cross-reference: The consumer price for chloroacetyl chloride is 79.5 EURO for 1kg. (http://www.sigmaaldrich.com/catalog/product/sial/22880?lang=de&region=DE&gclid=Cj0KEQjwt763BRDZx_Xg3-Pv2cABEiQAoDfeGHjW6jFqwPaDjy_6S7VS_Fv4vriIw1jMYBzhn7RfGCIaAv5C8P8HAQ , accessed 20160421);db2922b0-f8fe-4bf9-ba8b-b7d7018e10fb;market for chloroacetyl chloride;GLO
0.0106;EUR2005;Average European district heat price from Ecoheatcool and Euroheat 2005-2006, Ecoheat Work package 1: The European heat market. Final report. 10.6 EUR/GJ i s the price of district heat. http://www.solarthermalworld.org/files/Ecoheatcool%20WP1%20Web.pdf?download;71e2f1db-a2c5-44d0-8337-dfff15be974d;heat production, softwood chips from forest, at furnace 5000kW;CH
0.0106;EUR2005;Average European district heat price from Ecoheatcool and Euroheat 2005-2006, Ecoheat Work package 1: The European heat market. Final report. 10.6 EUR/GJ i s the price of district heat. http://www.solarthermalworld.org/files/Ecoheatcool%20WP1%20Web.pdf?download;1125e767-7b5d-442e-81d6-9b0d3e1919ac;heat and power co-generation, natural gas, conventional power plant, 100MW electrical;TRE
0.1;EUR2005;Temporary price data. Calculated as 90% of purchasers price based on: 94% of the average price (to account for a 6% loss in transformation and transmission) for electricity for industrial consumersin 2005 (excluded taxes). From IEA.;759b89bd-3aa6-42ad-b767-5bb9ef5d331d;electricity voltage transformation from high to medium voltage;TT
0.0977;EUR2005;Temporary price data. Calculated as 90% of purchasers price based on: 94% of the average price (to account for a 6% loss in transformation and transmission) for electricity for industrial consumersin 2005 (excluded taxes). From IEA.;66c93e71-f32b-4591-901c-55395db5c132;electricity production, hydro, pumped storage;CN-HB
6.63;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;474e7001-a158-4379-8793-e02f0c14bbfe;neodymium oxide to generic market for mischmetal;GLO
0.0977;EUR2005;Temporary price data. Calculated as 90% of purchasers price based on: 94% of the average price (to account for a 6% loss in transformation and transmission) for electricity for industrial consumersin 2005 (excluded taxes). From IEA.;66c93e71-f32b-4591-901c-55395db5c132;electricity production, hydro, run-of-river;RU
0.174;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;095528f2-b554-4cfb-9dc8-764b50bcbd7b;market for transport, passenger car, large size, natural gas, EURO 4;GLO
0.02498;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;c5e93711-09a6-4244-9bfd-8bf809246bca;market for operation, computer, laptop, standby/sleep mode;GLO
160.0;EUR2005;"Expert judgement (Urs Luginbühl, Swiss Sawmilling industry, personal communication in June 2014). Cross-reference; FAOSTAT (accessed 20140428). The price is calculated by using data on total world import quantity (m3) and import value (1000 USD), year 2005. 109432798 m3 of Sawnwood (C) - coniferous was imported in the world in 2005. The import value was 22249842000 USD. The calculated price is thus (22249842000/109432798=203*0.8=) 164 Euro.";4a7cb413-a6f1-4b74-b366-c8ef7a781026;market for sawnwood, softwood, raw, dried (u=20%);RER
0.13;EUR2005;Temporary price data. Calculated as 90% of purchasers price based on: 2005 import and export prices (total trades (USD) divided by total weight (kg) in biggest economies of the world: EU27, USA, Brasil, China, India, Japan and Russia) from UN Commodity Trade Statistics Database  (http://data.un.org/Explorer.aspxDatabase [Accessed 2011.06.17]). Commodity: Lactones, other than coumarins;f65d3dbd-ab3c-4636-9714-a651100cba65;calcium chloride to generic market for de-icer;RER
0.118;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;5bcb4640-2e25-4dc3-acc4-d89f308eb32c;market for transport, freight, aircraft with reefer, cooling;GLO
