amount;unit;comment;flow;name;location
0.0977;EUR2005;Temporary price data. Calculated as 90% of purchasers price based on: 94% of the average price (to account for a 6% loss in transformation and transmission) for electricity for industrial consumersin 2005 (excluded taxes). From IEA.;66c93e71-f32b-4591-901c-55395db5c132;electricity, high voltage, import from IN-Southern grid;IN-Western grid
0.522;EUR2005;Temporary price data. Calculated as 90% of purchasers price based on: Same price as for methylcyclohexane has been assumed;727655b9-e3e3-4420-81e2-e59e8d0421b8;market for fraction 8 from naphtha separation;GLO
0.149;EUR2005;Temporary price data. Calculated as 90% of purchasers price based on: estimated at 85% of sorted scrap;d7432632-40dc-4af8-8125-cb70dd9742c5;maintenance, tanker, for liquefied natural gas;GLO
47.6256359626925;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;c4f7fc5e-1e0a-4ced-b431-76c8c539d95e;market for start-up, heat and power co-generation unit, 160kW electrical;GLO
0.376;EUR2005;Calculated value based on data from United Nations Commodity Trade Statistics Database (comtrade.un.org). UN comtrade category: 281511 Sodium hydroxide (caustic soda) solid. Year 2005. Using exchange rate of 1EURO = 1.209 USD. Average of price of import into 5 main markets (EU, US, JP, IN and CN).;5694c7ed-a76c-4b16-9a73-6fa48237423c;sodium hydroxide to generic market for neutralising agent;GLO
28.3560112741814;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;e793625e-34eb-42c6-a9c7-dd9056ea86f3;market for railway track, for high-speed train;GLO
0.0615;EUR2005;2005 import and export prices (total trades (USD) divided by total weight (kg) in China, India, USA, Japan, Russia and Europe, major producers and consumers (http://www.cementchina.net/freport/showfre.asp?id=749) from UN Commodity Trade Statistics Database  (http://data.un.org/Explorer.aspxDatabase [Accessed 2 July 2010]). Commodity: Cement (portland, aluminious, slag or hydraulic);d5d4665a-d909-464f-a8a1-d73127fcb944;cement production, pozzolana and fly ash 25-35%;RoW
27272820.0;EUR2005;"EU27 I/O  database(in the 'EU & DK Input Output Database' (available in SimaPro)); -79 Building, non-residential EU 27 (calculated to be 38.169 EUR2003/kg). Based on consumption of  (_53 Iron basic, virgin, EU27;7.25517782294095E-3 kg/EUR building; 0.45 EUR2003 per kg DS), (_61 Iron, after first processing, EU27;5.8766830719783E-3kg/EUR building; 0.62 EUR2003 per kg DS), (_65 Fabricated metal products, except machinery, EU27; 8.9167022775554E-3 kg/EUR building; 3.63 EUR2003 per kg DS) and (_66 Machinery and equipment n.e.c., EU27;4.15071881936446E-3 kg/EUR building; 5.71 EUR2003 per kg DS) - 720000 kg";9af7da3d-b2d0-4b76-bda0-3ab410542b8a;market for onshore petroleum field infrastructure;GLO
0.714;EUR2005;Temporary price data. Calculated as 90% of purchasers price based on: 2004 import and export prices (total trades (USD) divided by total weight (kg) in EU27, USA, China, Japan and India) from UN Commodity Trade Statistics Database  (http://data.un.org/Explorer.aspxDatabase [Accessed 2 July 2010]). Commodity: Acrylonitrile;fa57e518-c22b-4011-a20c-6a73bdf8c53a;Sohio process;RER
0.191;EUR2005;Temporary price data. Calculated as 90% of purchasers price based on: 2004 Import/Export data (total trades (USD) divided by total weight (kg) in EU27, USA, China, Japan and India) from UN Commodity Trade Statistics Database (http://data.un.org/Explorer.aspxDatabase [Accessed 2 July 2010]). Commodity: Sodium sulphates other than disodium sulphate;2cfef82e-cb0d-4864-8163-9651fc6c25eb;NMC111 hydroxide production, for Li-ion battery;RoW
0.003555339928;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;1d2e10bf-8b43-4dbe-bdff-959e26f4607d;market for process-specific burdens, hazardous waste incineration plant;CH
0.286;EUR2005;"Export prices for the World+ according to: http://faostat.fao.org/site/626/DesktopDefault.aspx?PageID=626#ancor downloaded 5 May 2009; calculated as export value divided by export volume.";42b4f874-08e6-466b-84db-7837960e245b;market for stone groundwood pulp;GLO
0.1;EUR2005;Calculated to be between the price of electricity, high voltage and electricity, low voltage.;759b89bd-3aa6-42ad-b767-5bb9ef5d331d;market for electricity, medium voltage;YE
0.221501086;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;dae62135-2e34-4b47-bed2-e2ea1e137cd8;sodium chloride production, brine solution;RER
0.0977;EUR2005;Temporary price data. Calculated as 90% of purchasers price based on: 94% of the average price (to account for a 6% loss in transformation and transmission) for electricity for industrial consumersin 2005 (excluded taxes). From IEA.;66c93e71-f32b-4591-901c-55395db5c132;electricity production, oil;CN-GD
0.1;EUR2005;Calculated to be between the price of electricity, high voltage and electricity, low voltage.;759b89bd-3aa6-42ad-b767-5bb9ef5d331d;market group for electricity, medium voltage;CN
0.457143161;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;d918bb01-4699-5d60-8506-d7f43452a86b;ammonium nitrate phosphate production;CN
107473.447951232;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;35d71a36-81ec-472a-9b8b-0caed4295802;market for heat and power co-generation unit, 1MW electrical, common components for heat+electricity;GLO
0.84609589606455;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;9a63d81f-e922-4b53-85ff-d1074882d61e;market for steel removed by turning, average, computer numerical controlled;GLO
6.78770233751021;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;b245e321-06fa-4431-9be6-4995be5af258;internet access equipment production;CH
0.012;EUR2005;Temporary price data. Calculated as 90% of purchasers price based on: Calculated as 1/10 of the price of sugar beet pulp based on the difference in dry matter content;16f96475-57f7-4c90-b96a-e0a81f9bfdbe;market for vinasse, from fermentation of sugar beet;GLO
0.0349102376872242;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;5368a408-6be2-40f6-8068-903b3dfbda73;market for potato seed, Swiss integrated production, for setting;GLO
0.113;EUR2005;Calculated based on data from FAOSTAT (accessed 20140429). The price is calculated by using data on total world import quantity (m3) and import value (1000 USD), year 2005. 40461924 m3 of Chips and Particles was imported in the world in 2005. The import value was 3022227000 USD. The calculated price is thus (3022227000/40461924=74.7*0.8=) 62.2 Euro/m3. It is estimated, that the chips and particles are half hardwood (of density 650 kg/m3) and half softwood (of density 450 kg/m3), thus the remaining mixture has a density of 550 kg/m3. The recalculated price is (1/550*62.2=) 0.11 Euro/kg. Using the same approach the calculated price for 2010 was 0.123 Euro/kg.;c5651546-a49e-4c1d-b856-1cf358ab466a;planing, beam, hardwood, u=10%;CA-QC
804700.0;EUR2005;Convert from EU 27 price to the world by currency exchange rate.;f308d640-db05-4403-8baf-75d23e662c0b;market for anaerobic digestion plant, for sewage sludge;GLO
0.48;EUR2005;Estimated to be the same as in case of sawnwood, hardwood, raw. Assuming density of 563.2kg DM/m3.;97165d99-f445-4b78-8ec8-e145ecd787f4;hardwood forestry, birch, sustainable forest management;RoW
0.188;EUR2005;Set equal to the price of the corresponding inorganic fertiliser;38e5cc37-454c-501b-953b-c7b2125b3c00;treatment, sludge from pulp and paper production, landfarming;Europe without Switzerland
1.63505473906413;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;63b19600-43b7-42f4-bb72-172da4012027;market for aluminium removed by turning, average, conventional;GLO
0.107;EUR2005;Temporary price data. Calculated as 90% of purchasers price based on: IEA Key world energy statistics 2004 (www.iea.org/textbase/nppdf/free/2004/keyworld2004.pdf);d69294d7-8d64-4915-a896-9996a014c410;electricity voltage transformation from medium to low voltage;TW
1.29;EUR2005;Calculated from EU prices by use of exchange rates.;6af79823-cba0-4b75-96eb-e7c161eed14e;market for nylon 6, glass-filled;RER
160.0;EUR2005;"Expert judgement (Urs Luginbühl, Swiss Sawmilling industry, personal communication in June 2014). Cross-reference; FAOSTAT (accessed 20140428). The price is calculated by using data on total world import quantity (m3) and import value (1000 USD), year 2005. 109432798 m3 of Sawnwood (C) - coniferous was imported in the world in 2005. The import value was 22249842000 USD. The calculated price is thus (22249842000/109432798=203*0.8=) 164 Euro.";b5a81719-8174-482a-af3d-1c5456de14b1;market for sawnwood, softwood, raw, dried (u=10%);RoW
1.641116786;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;ee02b2e7-9c42-4fe3-904b-2a4a6f221656;market for ethoxylated alcohol (AE7);RoW
0.0187695847420993;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;1363cd8b-ecb7-476c-a454-529acb788bb2;transport, regular bus;CH
