amount;unit;comment;flow;name;location
0.1;EUR2005;Calculated to be between the price of electricity, high voltage and electricity, low voltage.;759b89bd-3aa6-42ad-b767-5bb9ef5d331d;electricity voltage transformation from high to medium voltage;DZ
0.015;EUR2005;Data related to the price of steam were provided by Yara International (https://www.yara.com/);bd20be8e-9b7a-4391-980f-4ecf8f2867be;smelting and refining of nickel concentrate, 7% Ni;CN
0.1;EUR2005;Calculated to be between the price of electricity, high voltage and electricity, low voltage.;759b89bd-3aa6-42ad-b767-5bb9ef5d331d;market for electricity, medium voltage;AO
0.0977;EUR2005;Temporary price data. Calculated as 90% of purchasers price based on: 94% of the average price (to account for a 6% loss in transformation and transmission) for electricity for industrial consumersin 2005 (excluded taxes). From IEA.;66c93e71-f32b-4591-901c-55395db5c132;electricity production, wind, 1-3MW turbine, onshore;HR
13943.4456370198;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;5819c006-2162-4984-b821-924282b1309d;market for heat and power co-generation unit, 50kW electrical, common components for heat+electricity;GLO
1.65574189606455;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;195293db-2f14-4e35-a334-201246a27c19;market for aluminium removed by milling, large parts;GLO
0.84;EUR2005;Calculated value based on data from United Nations Commodity Trade Statistics Database (comtrade.un.org). UN comtrade category: 290270 Cumene. Year 2005. Using exchange rate of 1EURO = 1.209 USD. Average of price of import into 3 main markets (EU, IN and CN).;2fec913d-0391-4e1b-8103-093c0ea500b9;cumene production;RER
0.7;EUR2005;Temporary from https://www.alibaba.com/trade/search?fsb=y&IndexArea=product_en&CatId=&SearchText=pet+granulate;577e08c9-53b2-41f4-a806-df09274d85e9;market for plastic granulate, unspecified, recycled;RoW
0.1;EUR2005;For paper and board waste the price, in 2005, according to [http://ec.europa.eu/eurostat] is about 1 EUR/kg corresponding to a purchase price of 0.099 similar to the price of UN comodittie: Waste, scrap of paper, board, nes (including unsorted).;8d7c013a-5aca-44d7-8fc4-193844d2953a;treatment of waste packaging paper, unsanitary landfill, hyperarid infiltration class (-250mm);GLO
0.107;EUR2005;Temporary price data. Calculated as 90% of purchasers price based on: IEA Key world energy statistics 2004 (www.iea.org/textbase/nppdf/free/2004/keyworld2004.pdf);d69294d7-8d64-4915-a896-9996a014c410;electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;CN-HL
299.345581565755;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;85370dde-0a14-4c80-9025-035b3c44ac2f;uranium production, centrifuge, enriched 3.0%;GB
289450.0;EUR2005;"UNdata;(Average prices of EU27; 1.291 EUR/kg) http://data.un.org/Data.aspx?q=pipeline&d=ComTrade&f=_l1Code%3a74%3bcmdCode%3a730410. Pipes, line, iron or steel, for oil or gas pipelines. Weight 280 t (excl. sand).";e45a29f8-34d6-4aac-bf03-b8d729b0099b;market for pipeline, petroleum;GLO
0.528625607203075;EUR2005;Price provided by the activities data provider.;22cdac63-419a-4980-ad99-5c0caff0a614;soybean meal and crude oil production;RoW
160.0;EUR2005;"Expert judgement (Urs Luginbühl, Swiss Sawmilling industry, personal communication in June 2014). Cross-reference; FAOSTAT (accessed 20140428). The price is calculated by using data on total world import quantity (m3) and import value (1000 USD), year 2005. 109432798 m3 of Sawnwood (C) - coniferous was imported in the world in 2005. The import value was 22249842000 USD. The calculated price is thus (22249842000/109432798=203*0.8=) 164 Euro.";a1a4300c-8440-4eed-8205-24042aad6df7;beam, softwood, raw, air drying to u=20%;RoW
176.641785310394;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;90055e28-2463-4a3f-bf50-f6f408085b8e;market for garage, wood, non-insulated, fire-protected;GLO
0.0681638789065511;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;210dcb33-fd19-4542-8c76-d63f562dbe4b;deep drawing, steel, 10000 kN press, single stroke;RER
0.034;EUR2005;Estimated to have the same price bark.;a514c9f2-0d4d-4ce2-809b-de4c29e74709;suction, sawdust;RoW
2.85130217723452;EUR2005;"Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application. Cross reference; Calculated value based on data from United Nations Commodity Trade Statistics Database (comtrade.un.org) is 2.4 Euro/kg. UN comtrade category: 740721 Bars, rods & profiles of copper-zinc base alloys. Year 2005. Using exchange rate of 1EURO = 1.209 USD. Average of price of import into 5 main markets (EU, US, JP, IN and CN).";57771ae0-5e8b-47be-bb73-ba59f2bf8cc8;market for brass;CH
