Filename;ActivityName;Location;ReferenceProduct
190db5c4-ab7e-5b02-b9f8-21ec89e9fa34_e0d21df5-c3c7-4421-9861-5fb9a614b576.spold;poultry manure, dried, Recycled Content cut-off;GLO;poultry manure, dried
86111464-930f-5a2d-b854-cc64ac06ab46_45fbbc41-7ae9-46cc-bb31-abfa11e69de0.spold;market for heat, for reuse in municipal waste incineration only;RU;heat, for reuse in municipal waste incineration only
e514106b-6d1b-5548-8447-fbd7d6ab41b6_7225e2a6-7fd6-40e2-b341-f097b027d119.spold;application of plant protection product, by field sprayer;RoW;application of plant protection product, by field sprayer
0fce055e-fae5-5313-a883-3e5fc3a035ad_66c93e71-f32b-4591-901c-55395db5c132.spold;market for electricity, high voltage;IR;electricity, high voltage
97f0e231-2ed7-5472-afbf-1199b1b43d17_9cf8ff38-4c1a-4e5a-aa3f-923bf062359f.spold;market for tin dioxide;GLO;tin dioxide
12bc62b3-a726-5306-952b-4b07af7f36bd_9b9edcf3-0539-4642-9516-0df642a5c41a.spold;clear-cutting, primary forest to arable land, perennial crop;BR-RS;land tenure, arable land, measured as carbon net primary productivity, perennial crop
96679569-08c9-5043-b37f-82db1d508888_9b9edcf3-0539-4642-9516-0df642a5c41a.spold;clear-cutting, secondary forest to arable land, perennial crop;GH;land tenure, arable land, measured as carbon net primary productivity, perennial crop
1d4733f9-41a8-5af1-8911-5f3eba32d858_45fbbc41-7ae9-46cc-bb31-abfa11e69de0.spold;treatment of waste emulsion paint, municipal incineration;Europe without Switzerland;heat, for reuse in municipal waste incineration only
a67836de-7326-50d8-84e9-fa9c9b83b846_8578a99c-e6ff-412c-a829-9e53f8890e5a.spold;market for power sawing, without catalytic converter;GLO;power sawing, without catalytic converter
4f3482cd-cb6a-5753-9812-db5ae61bb935_579049d0-3db8-4496-a234-2f61ed28a72b.spold;extrusion, plastic film;RoW;extrusion, plastic film
67404a7b-9696-5f0f-862c-638e96a0b276_ca213807-7c00-4537-ac8c-23d39d0f2bd5.spold;corrugated board box production;US;corrugated board box
dc90f5c7-05e1-5f54-88a3-bfd1740e86ce_e9d62932-4f38-41b4-95ea-4bf77569fcc8.spold;market for iron ore, crude ore, 63% Fe;GLO;iron ore, crude ore, 63% Fe
8a328b17-0e87-502a-ba87-009f7bfa20cd_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;RU;heat, district or industrial, other than natural gas
5b481d2a-ab42-5964-bf4b-180620c365db_ad203eea-c27a-4232-94aa-f0a5418de3a5.spold;mango production, conditioned, heat treatment;RoW;mango, conditioned
b3658bf5-eb8f-5c2f-a81c-e760b3ac8cc3_54894ebe-5eae-4fd7-8d35-f715e15c673b.spold;market for inert filler;GLO;inert filler
fe25674a-5d1a-5e79-a1c0-e9cd77b82406_2669baa0-c363-4ba4-bb4d-6c7cff61d241.spold;sawnwood production, softwood, dried (u=20%), planed;Europe without Switzerland;sawnwood, softwood, dried (u=20%), planed
84814ad7-6dd3-5370-9080-8ccc37c31028_2a03306d-baf8-4ab1-b8a5-d12a2a41adc3.spold;market for nuclear fuel element, for pressure water reactor, UO2 4.2% & MOX;GLO;nuclear fuel element, for pressure water reactor, UO2 4.2% & MOX
df4ca439-15da-5c89-80f3-9063fa1c8acf_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;heat and power co-generation, diesel, 200kW electrical, SCR-NOx reduction;CH;heat, district or industrial, other than natural gas
be97c7ae-fd18-58c5-b701-71a79b511bdd_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, nuclear, pressure water reactor, heavy water moderated;CA-ON;electricity, high voltage
f1b0912b-ffdf-56f2-b0fd-7ed46ec5713a_e6aad2de-0b1b-49c3-a0c4-797ba34d87e5.spold;petroleum and gas production, offshore;MY;petroleum
00b751a9-6dc3-5fe7-92a7-8b070d963ad5_7c4dafff-fe18-45c0-92e4-857950032abb.spold;nutrient supply from potassium chloride;RER;inorganic potassium fertiliser, as K2O
4614fa9f-34e8-5deb-8ead-23b0847faff6_f372d4c2-7310-4fb9-8bb6-bee214fd08d1.spold;land use change, perennial crop;CR;land use change, perennial crop
77728bab-7a1d-50b2-bc41-c745a199cc96_03cc9df9-29e5-4ee0-8bff-a70999caffbf.spold;market for tomato, processing grade;GLO;tomato, processing grade
6e8411f3-5246-5ba2-aab5-32bb2a7cc299_858164b0-44f1-4118-b6cb-47054faa21ef.spold;treatment of used beverage cans, for recycling, unsorted, sorting;CH;aluminium scrap, post-consumer, prepared for melting
146b9eeb-2ba8-5cf2-a342-72998ff68b29_d2ad7fe5-59ef-47c9-adff-d7c5ab93ee70.spold;market for broccoli;GLO;broccoli
03be4da6-2cf7-54b0-97c3-d31247bd34dc_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, peat;SE;electricity, high voltage
37ce6e74-f795-5775-b6d1-5e700ea85a81_4c2bb0f0-422d-4fb3-bcfe-a36ef1b55874.spold;clear-cutting, grassland to arable land, annual crop;BR-RR;land tenure, arable land, measured as carbon net primary productivity, annual crop
fbbd652b-8e40-58b8-9411-832c32d6ce82_2d03bb2c-517e-4184-a3a9-8742107a3f46.spold;base plaster production;RoW;base plaster
86d3ce8b-1b5f-5448-bf42-db7d1ece615c_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;treatment of waste packaging paper, sanitary landfill;GLO;heat, district or industrial, other than natural gas
ca218891-b8f0-50f7-a848-27b90ff1fa41_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hard coal;CN-YN;electricity, high voltage
cbe2ae9c-8394-5269-ad99-a21add34cba4_b89dadb0-75e9-44fd-8d41-1ec8dcce23b6.spold;market for light fuel oil;BR;light fuel oil
1ca4e8bc-434c-5608-b1f0-e738c7881257_66c93e71-f32b-4591-901c-55395db5c132.spold;treatment of coal gas, in power plant;IR;electricity, high voltage
18c0a0cb-5e14-5439-853d-eeea7e9bbe0a_ac21a604-4cf8-4b71-8900-03c2d3aa6694.spold;retention aid production, for paper production;RoW;retention aid, for paper production
a01d2e49-122a-55a7-b10d-124488ff1352_e0fa57e8-c934-4732-a489-970da0eec28d.spold;treatment of spent anion exchange resin from potable water production, municipal incineration;CH;spent anion exchange resin from potable water production
407f3d2e-8931-5172-a10f-45184be1bb3e_9b9edcf3-0539-4642-9516-0df642a5c41a.spold;clear-cutting, grassland to arable land, perennial crop;BE;land tenure, arable land, measured as carbon net primary productivity, perennial crop
d1c91f6e-2f95-521c-9f53-3b497ee6f921_cfbce515-3f54-4411-ad9d-3d26b7faa15a.spold;transport, freight, lorry, all sizes, unregulated to generic market for transport, freight, lorry, unspecified;ZA;transport, freight, lorry, unspecified
d52743df-e0f0-56d6-93c9-6ba05b3cc0ec_408e23d8-25c2-4cf6-8a1b-233be6efef1d.spold;market for sewage sludge, 70% water, WWT, WW from ceramic production;RoW;sewage sludge, 70% water, WWT, WW from ceramic production
