Filename;ActivityName;Location;ReferenceProduct
f8bd5183-46e7-54e5-87da-d0a109fe9cd5_8fe05e0c-037b-4a27-9f9c-1e3fe9326b36.spold;refrigerator production;GLO;refrigerator
7695505d-1032-5d93-8ede-1f38fc5b18ed_f372d4c2-7310-4fb9-8bb6-bee214fd08d1.spold;market for land use change, perennial crop;MY;land use change, perennial crop
657babec-92f8-508a-aa89-5ef1d0d2ab83_1b4271d3-3426-4fbf-be9c-705e50c87f94.spold;market for tillage, currying, by weeder;GLO;tillage, currying, by weeder
5b82b35e-f497-5b0f-8299-5c6525dcfa45_bd20be8e-9b7a-4391-980f-4ecf8f2867be.spold;smelting and refining of nickel concentrate, 16% Ni;GLO;steam, in chemical industry
692e5c51-73d6-5a94-b291-d691e14cd430_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hydro, reservoir, non-alpine region;IN-NL;electricity, high voltage
e13df2a7-1b86-5b0d-9430-1da8fef1b15e_e74ec890-d78d-4e4d-9112-39fe0fffbc6a.spold;market for transport, freight, sea, container ship with reefer, freezing;GLO;transport, freight, sea, container ship with reefer, freezing
cd52c98d-e09c-53bd-a38b-6548c2036db5_97ee3bfa-7894-4353-9208-c2bf1ae1dce1.spold;photovoltaic laminate production, CIS;DE;photovoltaic laminate, CIS
f032a21f-ead8-5e44-9261-fe9aba955876_3f5f5aef-3833-43d4-8b81-44123105afd7.spold;irrigation, drip;CA-QC;irrigation
69af17bb-6f4d-5e6e-b711-fecdc05672fa_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;treatment of sewage sludge, 75% water, WWT, WW from vegetable oil refinery, sanitary landfill;GLO;heat, district or industrial, other than natural gas
e6b92bdf-9dca-5ac9-9473-6a84997131f1_637ee275-a239-4dcb-b084-abfa110dd65b.spold;treatment of sewage sludge, 70% water, WWT, rainwater mineral oil storage, municipal incineration;RoW;electricity, for reuse in municipal waste incineration only
865935d2-80eb-5ff2-a29a-afefeb29226b_22df1429-91c9-4d1e-a289-1deec0adc66d.spold;market for bagasse, from sugarcane;CO;bagasse, from sugarcane
f20a115b-6278-56c3-986b-358cb48bebac_b89dadb0-75e9-44fd-8d41-1ec8dcce23b6.spold;market for light fuel oil;ZA;light fuel oil
415435dd-d344-54cc-a87b-adfd257c55df_0a4447b8-c9ac-4e15-8229-c5f17d7cf6c2.spold;market for bottom ash, MSWI[F]-WWT, WW from concrete production;CH;bottom ash, MSWI[F]-WWT, WW from concrete production
617d8aa1-e402-5132-a083-5550ef6e1c3d_aad176cd-625d-4e08-917b-6434e207accd.spold;acrylic filler production;RoW;acrylic filler
c946b21b-43df-5ba8-8437-83e24a389cb1_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, import from CA-BC;US-WECC;electricity, high voltage
7d3ae42d-8012-56b1-868e-cd5349756e1f_d69294d7-8d64-4915-a896-9996a014c410.spold;market for electricity, low voltage;NG;electricity, low voltage
fd2fdab4-14b8-5386-806a-051f1a1d4af8_0f90ad25-dfd7-41e0-94bf-ad889579cce5.spold;coating powder production;RoW;coating powder
b3d48735-f5e4-5d34-90c6-bce14ffee253_a9007f10-7e39-4d50-8f4a-d6d03ce3d673.spold;market for natural gas, high pressure;AZ;natural gas, high pressure
38750263-6efe-5a8b-b486-6625573638bc_cf8c95e1-aa88-4d23-9d83-065a935387d3.spold;market for limestone, unprocessed;CH;limestone, unprocessed
94d230a8-11bb-5368-b00a-592e4bfd2684_7ff09d1a-1938-425a-b85f-a7a65bb5f0b5.spold;titanium sponge production, from titanium tetrachloride;JP;titanium sponge
c0cbbfd8-009f-5893-9223-9f70d3724c1b_780b9e94-60a4-411e-9cc5-02948676003b.spold;treatment of wastewater from grass refinery, wastewater treatment;CH;wastewater from grass refinery
a17e92a4-3c67-5cdf-b0a2-e596988d5654_199596a7-3977-4402-8c43-7e3aafa1b205.spold;market for used trawler, steel;GLO;used trawler, steel
649c190f-9b6b-5a50-9083-3a0972b3f42a_dd80f0f2-f4d5-40f0-9035-09c1a7f3f07b.spold;heat production, mixed logs, at wood heater 6kW, state-of-the-art 2014;CH;heat, central or small-scale, other than natural gas
8480837c-af3e-58e2-a27e-04b4f436ec6f_e416df9c-6f27-404a-a24f-fcdaf132eaff.spold;chromium production;RoW;chromium
fa705a60-551d-5b3a-84ec-d1acff472cc8_a7f92ffa-a459-4c1c-ae8b-ffefe3804099.spold;ammonium bicarbonate production;RoW;ammonium bicarbonate
e5bd6452-7387-52b4-a608-250b9928170f_a9007f10-7e39-4d50-8f4a-d6d03ce3d673.spold;natural gas, high pressure, import from US;FR;natural gas, high pressure
1b788ac7-85c6-50d4-bd7a-6a4195a22ae1_9e63b5ec-1147-4a34-84fd-697203242984.spold;transport, passenger aircraft, all distances to generic market for transport, passenger aircraft, unspecified;GLO;transport, passenger aircraft, unspecified
7ab2f0d7-2822-5d67-bbf5-d435ab5aaa28_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, oil;TZ;electricity, high voltage
29a5ad04-435a-51ec-ae82-468f44fd2474_620a1f8e-81f8-466c-924f-e4597dabd21a.spold;market for packing, cement;GLO;packing, cement
dbd940e1-bf5d-5450-a4bb-81ab5da2e301_17c72eaf-0185-42dc-87d4-4882e550ba09.spold;refractory production, basic, packed;RoW;refractory, basic, packed
383d0454-10f7-541b-a9dc-e814c531094a_e90a4d0e-9dd1-4031-84ca-30edcb6049c6.spold;phthalimide production;RoW;phthalimide
48762a94-ca51-5ba3-9826-017fdb55ba79_1942f3d1-fad9-43da-a657-d5920c804cd6.spold;tea production, dried;IN-HP;tea, dried
418332a1-b5c7-57c2-801b-ae0a31df2619_0dc25044-d414-5564-b7f3-998ef6732374.spold;market for polydimethylsiloxane;GLO;polydimethylsiloxane
c7bf0619-ad49-5a8e-a026-5aa6b642d6dc_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;CA-NU;electricity, low voltage
e1a61a96-7b6c-5114-ba06-592058d0b482_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, production mix;MX;electricity, high voltage
2ce9cf49-7168-5ffb-baad-519c24ab98da_fe95f2c3-b749-489d-ae35-6900865e6a48.spold;forging, steel, large open die;CA-QC;forging, steel
d1b96a6c-43c5-5263-91dc-f1907758c5eb_5839ffb0-438f-4a27-b082-06b0240cf020.spold;market for oxalic acid;GLO;oxalic acid
1899920a-4828-5d6d-b601-6ccf625a2b15_ca8ec222-fdaa-4c97-849e-130f1256593f.spold;market for used lorry, 16 metric ton;GLO;used lorry, 16 metric ton
97d794a7-01d1-5e8a-bf24-80c6ba62fc50_61ba3c6c-4ccb-478c-9348-b035f7e48913.spold;market for storage, 10'000 l;GLO;storage, 10'000 l
348f2e3b-29f6-53e5-b2b4-af1d4d3d33da_815e3069-9ab7-4706-8402-48c22c72c688.spold;market for methyl acrylate;GLO;methyl acrylate
be8418b5-35d9-59c3-908e-9bd94385ae99_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;heat and power co-generation, wood chips, 6667 kW;IN-UP;heat, district or industrial, other than natural gas
0cec52f8-3def-56db-9c15-96e956c1ba9c_28b6be29-d852-4229-819e-b8c6afc0b605.spold;furnace production, logs, softwood storage area, 30kW;CH;furnace, logs, softwood storage area, 30kW
92664fcc-b13d-56dd-a57b-e33ca399e3c1_0988a106-557d-4dd3-a721-59c519857792.spold;treatment of used blower and heat exchange unit, KWL 250;CH;used blower and heat exchange unit KWL 250
ec3d532c-00b4-51a7-b8a0-e63b9337cbb6_db14b1bf-6c5e-4db1-833e-6bf331874714.spold;treatment of used double glazing, U<1.1W/m2K, collection for final disposal;CH;used double glazing, U<1.1W/m2K
703382e2-770f-5e2e-960c-384f7baed15f_08b50381-c9ae-49ae-b279-5495b9f8f14a.spold;operation, computer, desktop, with cathode ray tube display, office use;CA-QC;operation, computer, desktop, office use
babd648d-0b91-5fae-9a30-2b2f7cfad76e_884c48fb-56c9-44e5-a18e-b400b40cb2c4.spold;power block installation, solar tower power plant, 20 MW;RoW;power block, solar tower power plant, 20 MW
f28c3ba1-9b6d-5f6d-b532-3473fdd37266_60e49368-8f1a-49a1-87bd-4e9cb932a8d3.spold;uranium mill construction;RoW;uranium mill
2c38d793-b76c-5c2f-a857-660b032582e0_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, production mix;CA-ON;electricity, high voltage
f792edcf-4447-5f51-a5db-441fbe193026_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, wind, <1MW turbine, onshore;MX;electricity, high voltage
fe6c5013-b177-53fe-9233-ed58fbcbaee3_58b17444-9524-4a28-8ff5-58b7d6328dd2.spold;market for toner, black, powder;GLO;toner, black, powder
c894fa48-08ba-59ee-8614-4c9c86d4a73f_b20fc078-ade8-44b7-bb6a-eb82066d3f6d.spold;treatment of used printer, laser, manual dismantling;CH;used printer, laser
3af53f81-be81-5f6b-bd2b-4c0340f6a999_1125e767-7b5d-442e-81d6-9b0d3e1919ac.spold;heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;BG;heat, district or industrial, natural gas
0ab0ff3e-9784-54f3-8c75-697b309f23b9_cfbce515-3f54-4411-ad9d-3d26b7faa15a.spold;transport, freight, lorry, all sizes, EURO6 to generic market for transport, freight, lorry, unspecified;RER;transport, freight, lorry, unspecified
f285e5f8-9de7-579e-8d6d-06e5ba72cb1f_85483e6b-ba9c-4de1-bb02-331ff8f87456.spold;sulfur stockpiling;RoW;sulfur stockpiling
313d4404-47f2-50cc-a528-53a49f6c4332_0639ab9a-43bd-48b8-b8d9-99c50aa022fd.spold;propyl acetate production;RoW;isopropyl acetate
6734a1b3-d23a-5871-9a4a-ba82619a71b1_63b19600-43b7-42f4-bb72-172da4012027.spold;market for aluminium removed by turning, average, conventional;GLO;aluminium removed by turning, average, conventional
f6720ae0-55f2-5b34-a0f8-35fce40ba8d2_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, natural gas, combined cycle power plant;CA-NS;electricity, high voltage
ab40857f-d89d-5578-bc11-54c86d87f0a7_9b9edcf3-0539-4642-9516-0df642a5c41a.spold;clear-cutting, grassland to arable land, perennial crop;BR-CE;land tenure, arable land, measured as carbon net primary productivity, perennial crop
343d97a0-4b69-5007-b213-4e245f4c06ff_e35c5939-e217-4469-a09c-0c72ecb3b1cb.spold;pipeline construction, natural gas, high pressure distribution network;Europe without Switzerland;pipeline, natural gas, high pressure distribution network
6956b359-04bd-5248-9051-e76829ebdb19_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, import from RS;ME;electricity, high voltage
7d319cf6-4978-5724-b733-d6f61e2cf442_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hard coal;CN-GS;electricity, high voltage
7d795df2-df4e-548e-a100-9231ebb28913_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;treatment of spent antifreezer liquid, hazardous waste incineration, with energy recovery;RoW;heat, district or industrial, other than natural gas
3463b0ae-6cda-5cd5-bf9c-6ad47e5b115a_9b9edcf3-0539-4642-9516-0df642a5c41a.spold;clear-cutting, primary forest to arable land, perennial crop;BR-ES;land tenure, arable land, measured as carbon net primary productivity, perennial crop
8b8402e9-dfc7-5bac-b20f-a8e8bdd1cfe4_835bdfad-fd13-49d2-997f-ed7a5652f61f.spold;market for coconut husk;GLO;coconut husk
579a00a0-dcd1-5a83-9f08-32d2f0bb5c01_deacf25b-6aee-5105-893d-b78661769ca8.spold;diammonium phosphate production;RNA;diammonium phosphate
bda1b455-451e-5453-b027-160910d67ee6_18c7d197-ca25-4e23-b57a-4c9e379ae1bc.spold;market for battery, Li-ion, LiMn2O4, rechargeable, prismatic;GLO;battery, Li-ion, LiMn2O4, rechargeable, prismatic
a8354d79-9327-55dd-8a07-c0b20d5acc9e_1f6c6d72-b328-4f8b-841b-5e0ecb494989.spold;transport, pipeline, onshore, long distance, natural gas;KZ;transport, pipeline, onshore, long distance, natural gas
1c6aceb4-3a33-55f9-a9e7-206e5621c5fa_d69294d7-8d64-4915-a896-9996a014c410.spold;market for electricity, low voltage;DK;electricity, low voltage
18b27e76-d18e-50b7-8bd6-d92de90ea5f6_a6610283-876b-4f20-ac83-7cef68655ca3.spold;transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO6, R134a refrigerant, cooling;GLO;transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO6, R134a refrigerant, cooling
3ec077d4-4483-5b1c-97e1-aa99b1253413_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;electricity voltage transformation from high to medium voltage;FR;electricity, medium voltage
2bef3fe9-8257-5365-86f3-92f94958fd36_cd9df1f3-c61b-45b8-b71f-b0cfeeb31176.spold;market for sewage sludge, 97% water, WWT, WW from LCD backlight production;RoW;sewage sludge, 97% water, WWT, WW from LCD backlight production
17455496-70e9-52eb-9b87-af5277d92ac1_dcd438b9-92a5-41f6-932b-a4acb5d81636.spold;market for wood preservation, dipping/immersion method, water-based, indoor use, occasionally wet;GLO;wood preservation, dipping/immersion method, water-based, indoor use, occasionally wet
8ebfca67-cc5e-5215-8726-2f958e5165dc_58034453-f601-41eb-a962-414bb2f537da.spold;wood preservation, oscillating pressure method, inorganic salt, containing Cr, outdoor use, ground contact;RoW;wood preservation, oscillating pressure method, inorganic salt, containing Cr, outdoor use, ground contact
3f0fe132-a354-5cd7-b3b7-b2d3dfe0d595_0d3eda5a-4601-4573-9549-0701c459ab88.spold;hard coal, import from RNA;ID;hard coal
7ca86f26-d199-59ac-bb22-52ac9d41a44e_babbfb13-a047-4b0d-80ee-0fb67d0305a9.spold;hazardous waste incineration facility construction;RoW;hazardous waste incineration facility
8806bf01-7d95-5ffd-9f94-e7a05a92b1d5_0ec7f55d-8bba-4887-a3e5-43100357f9af.spold;wastewater treatment facility construction, lagoon, capacity 1.6E8l/year;CA-QC;wastewater treatment facility, capacity 1.6E8l/year
d8f655f2-4411-5105-a47b-83418096731d_858164b0-44f1-4118-b6cb-47054faa21ef.spold;treatment of used beverage cans, for recycling, unsorted, sorting;Europe without Switzerland;aluminium scrap, post-consumer, prepared for melting
f5d9e772-7995-5eea-bf38-5e9e5c336fc1_1125e767-7b5d-442e-81d6-9b0d3e1919ac.spold;heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;PL;heat, district or industrial, natural gas
3a283ddc-b46b-5a3e-bd9f-d868ad8cc1d7_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas;BE;heat, district or industrial, other than natural gas
955303ce-12ab-514c-bd74-ebce91a7ebbd_d773e4cf-c13f-4ebb-966e-ea14b712ff62.spold;willow stem cutting production, for planting;RoW;willow stem cutting, for planting
1cec9dcc-02dc-5d48-badd-ae01420206ea_777f2fb7-39e4-490d-973f-10ac241af3da.spold;market for natural gas service station;GLO;natural gas service station
a08b5e47-da59-555c-afc7-d3c4a3df8968_e53a275d-a2c3-40d4-8dc0-df01de6068c9.spold;market for triethylene glycol;RER;triethylene glycol
74ff3be3-c742-5842-b4db-5a89c4a2652d_66c93e71-f32b-4591-901c-55395db5c132.spold;market for electricity, high voltage;HN;electricity, high voltage
5a8fc076-ed57-59a1-b4ce-250b687f3b95_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;electricity voltage transformation from high to medium voltage;CO;electricity, medium voltage
9b34ca26-c724-56d2-a21d-0e7334d001a0_3ecd769f-d8fe-4fb2-952d-0f6b8514baf9.spold;heat distribution equipment production, hydronic radiant floor heating, 150m2;RoW;heat distribution equipment, hydronic radiant floor heating, 150m2
5e1c7706-e46c-5d12-8011-9603db9781c7_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, wind, <1MW turbine, onshore;CA-NB;electricity, high voltage
1cfd2392-9a40-5c13-9a57-fc813c1d4c23_fbb039f7-f9cc-46d2-b631-313ddb125c1a.spold;cobalt production;GLO;copper, cathode
f85c9078-f174-550e-8737-e379e654923b_1f61a047-2cac-4f60-91c0-e60fb6b865a6.spold;market for silicon, multi-Si, casted;CA-QC;silicon, multi-Si, casted
631cadc0-3816-566b-9823-2e9bcb2a6883_c5299a8e-d4b4-409c-9826-e8ae9e37c03d.spold;cement production, Portland;RoW;cement, Portland
e60c0278-f153-5152-9121-19bbbaa557a3_4829414d-5ec4-4f42-9c2c-b86dbb59d721.spold;market for slab and siding, softwood, wet, measured as dry mass;Europe without Switzerland;slab and siding, softwood, wet, measured as dry mass
a3bd0af4-7ae6-5e97-9457-b0f6e4271e83_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;HU;electricity, low voltage
ba33270f-a348-58cf-95f3-e45b35aa445d_dae141a8-7daa-4f03-a649-b85b718ac65b.spold;market for waste glass;IN;waste glass
d3cc24c1-ef5f-5091-ab2e-4d6c730afe28_45fbbc41-7ae9-46cc-bb31-abfa11e69de0.spold;treatment of municipal solid waste, incineration;HU;heat, for reuse in municipal waste incineration only
5614a34d-ad6c-5658-b8cb-c03941705074_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity voltage transformation, residual mix, from medium to low voltage;SK;electricity, low voltage
f215fae0-0767-5ebb-aabc-7292379a82d1_cee6769c-ac58-45d5-9597-de2569031d74.spold;treatment of waste paint, hazardous waste incineration, with energy recovery;CH;waste paint
5e25e60c-b9bc-50bb-bc1a-056a47f929e7_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity production, photovoltaic, 570kWp open ground installation, multi-Si;CN-JS;electricity, low voltage
4435216e-78af-5c1b-b01a-894faddd6e8a_c8e90fe9-16f0-4235-b0ad-551813787ae8.spold;sugarcane loading, by loader;BR;sugarcane loading, by loader
0a42068e-3088-51a4-a8df-90761b4aa17c_66c93e71-f32b-4591-901c-55395db5c132.spold;heat and power co-generation, natural gas, conventional power plant, 100MW electrical;HR;electricity, high voltage
5d84faa5-11ca-5f0d-85f0-a40f445b6bf5_69946df8-bdf7-41fa-b5e6-17fb3a23d68b.spold;heat and power co-generation unit construction, 50kW electrical, components for electricity only;RoW;heat and power co-generation unit, 50kW electrical, components for electricity only
b97f7fe5-084a-543f-8c58-5627605b5cab_22cdac63-419a-4980-ad99-5c0caff0a614.spold;market for soybean meal;RoW;soybean meal
80032579-92e1-5f5a-9ff3-2e234cd94e63_c1b67381-05bf-4bf0-a3a3-2b3289ac32e3.spold;rice seed production, for sowing;RoW;rice seed, for sowing
4abd5c67-7485-5046-9799-c08b48200e7b_7513d2f5-d7ee-497b-971b-a5ad34ab5c83.spold;treatment of waste rubber, unspecified, municipal incineration;Europe without Switzerland;waste rubber, unspecified
48413aaa-b340-5915-a9f6-ea01be552678_a9007f10-7e39-4d50-8f4a-d6d03ce3d673.spold;market for natural gas, high pressure;IT;natural gas, high pressure
bac23735-0e66-5ebc-a9fc-9d1eb6c8b34d_ad2a5d44-4e6d-430d-873b-0068ea24b9d5.spold;market for integrated circuit, logic type;GLO;integrated circuit, logic type
c762be2d-7148-5130-85b2-1899fa85265e_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;market for electricity, medium voltage;CA-YK;electricity, medium voltage
7f170c42-4c88-5426-8d45-a98d784c9793_eee3d813-2a39-4b3e-ac01-672b1c17b568.spold;treatment of decommissioned tram track;RoW;decommissioned tram track
d36c6a4a-180a-538e-ab07-cfce84badfa8_a7f92ffa-a459-4c1c-ae8b-ffefe3804099.spold;ammonium bicarbonate production;RER;ammonium bicarbonate
e2c54c07-60a0-5a32-aa2a-60d0d6bde065_9d63da75-8289-4b96-a900-67ec3bd40a16.spold;market for sulfuric acid;RoW;sulfuric acid
62800e81-c7d8-553f-be12-bc359985428f_8931016e-3e07-5c9a-91a6-cd85b90a2aaa.spold;market for land tenure, arable land, measured as carbon net primary productivity, pasture, man made;BR-PB;land tenure, arable land, measured as carbon net primary productivity, pasture, man made
07c68c34-cf3b-5134-964c-99654970c3ae_a3867cbe-e5af-4d2c-9b54-f4552648ed12.spold;market for sewage sludge, 70% water, WWT, WW from grass refinery;CH;sewage sludge, 70% water, WWT, WW from grass refinery
a2b06e08-33e1-5b61-ba6f-68a0a7d7f978_3b01838a-28d0-43f5-8024-3fad9a5392c2.spold;clinker production;BR;sewage sludge, dried
f3e273d7-71ed-50e0-a4ae-54be39d943fd_f2f7fe05-90ce-4e37-a9b1-3437a7db06a8.spold;market for benzyl alcohol;GLO;benzyl alcohol
6ece8db2-f1f4-5c71-85ac-95a2023141e8_6ab2abde-801d-45a3-8ea3-455d0f01c3f4.spold;water production, decarbonised;ZA;water, decarbonised
7cdddc5a-80ec-56af-bba8-8913b3cc8cb8_0ec7f55d-8bba-4887-a3e5-43100357f9af.spold;market for wastewater treatment facility, capacity 1.6E8l/year;GLO;wastewater treatment facility, capacity 1.6E8l/year
15a51b4e-0ecb-559c-9bd2-2db1126edc52_6e57739e-8655-4d87-8324-11ed616e3048.spold;transport, pipeline, long distance, natural gas;DE;transport, pipeline, long distance, natural gas
e61746e9-36e8-56dc-829e-bf9f660c02ee_908ee5e9-b25e-4f56-8a41-d9856a5bd39e.spold;market for granulated blast furnace slag;BR;granulated blast furnace slag
034030f9-3f07-56ff-99d1-f1380eb64d76_1c819f15-1202-4fa9-8ef9-72196c2dfb85.spold;apple production;CN;apple
70d6e7f0-c4c7-5c01-a834-1c4818c70b0a_14bf310d-069a-4d84-a98e-da3a7b1a6cde.spold;nuclear power plant construction, pressure water reactor, 1000MW;DE;nuclear power plant, pressure water reactor, 1000MW
d94ec945-76a2-5357-9736-b63da6c71f4a_30df3cb7-d389-4007-a172-ad89e98c3270.spold;peach production;ES;peach
8e38da8b-29e5-56df-862f-15c441a24ba1_bd20be8e-9b7a-4391-980f-4ecf8f2867be.spold;nitric acid production, product in 50% solution state;RU;steam, in chemical industry
0dfef659-aa06-5084-879c-33ead14e8a4a_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, wind, <1MW turbine, onshore;SK;electricity, high voltage
c9d7c480-15f3-59f9-9b8d-a4c41a5398b4_90860250-c429-51ab-8b72-3e32d0d672a2.spold;tris(2,4-ditert-butylphenyl) phosphite production;GLO;tris(2,4-ditert-butylphenyl) phosphite
7ad925b5-ac50-5f69-a33e-4ed60481bd86_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;heat and power co-generation, oil;US-HICC;heat, district or industrial, other than natural gas
39f098f1-c31c-52d5-afa6-1dd4be82f31e_3a91cb7d-843b-495d-9973-33ba5efee877.spold;treatment of inert waste, sanitary landfill;Europe without Switzerland;inert waste
232d0a4e-4507-5dd8-b5f6-cc0d18b5d13f_9b9edcf3-0539-4642-9516-0df642a5c41a.spold;land already in use, annual cropland to perennial crop;BR-SP;land tenure, arable land, measured as carbon net primary productivity, perennial crop
8da98f3b-3a80-5c5f-9fd3-d1c96419f82d_45fbbc41-7ae9-46cc-bb31-abfa11e69de0.spold;treatment of sewage sludge, 70% water, WWT, WW from LCD backlight production, municipal incineration FAE;CH;heat, for reuse in municipal waste incineration only
83959443-6f30-54fd-9c27-e59834c6e296_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, natural gas, combined cycle power plant;US-RFC;electricity, high voltage
24913593-31bf-5d5a-86d4-665ecbb1c47e_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;treatment of sewage sludge, 75% water, WWT, WW from particle board production, sanitary landfill;RER;heat, district or industrial, other than natural gas
