Filename;ActivityName;Location;ReferenceProduct
193ca54c-1672-55a4-821b-0dcb17c6c619_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;treatment of coal gas, in power plant;IR;heat, district or industrial, other than natural gas
29df5899-0fc5-5f39-8f76-07651b529231_e6aad2de-0b1b-49c3-a0c4-797ba34d87e5.spold;petroleum and gas production, onshore;DZ;petroleum
c3c0db57-3436-5b4a-a136-fcdfe432cf71_013d2a59-5d91-4d06-acfc-4ea125843c19.spold;heat pump production, heat and power co-generation unit, 160kW electrical;RER;heat pump, heat and power co-generation unit, 160kW electrical
19f55d6b-049f-5e52-beb1-ef4bdb0409de_06b8d05b-e1e6-427b-929c-bb55e84e7c08.spold;ammonia production, partial oxidation, liquid;CN;ammonia, anhydrous, liquid
f22d122c-dce5-507b-b0d6-cc4986220486_a8b337d2-72d7-4cec-a2ab-a105661011c1.spold;transport, freight, small lorry with refrigeration machine, EURO5, R134a refrigerant, cooling to generic market;GLO;transport, freight, lorry with refrigeration machine, cooling
ebacfae8-fd6a-535f-989e-a603207cf263_80c1687a-d027-48da-b3d1-7181dd58beed.spold;heat and power co-generation unit construction, 6400kW thermal, common components for heat+electricity;RoW;heat and power co-generation unit, 6400kW thermal, common components for heat+electricity
b1fd5e13-ac00-5208-9f16-a0483a84c8a8_66c93e71-f32b-4591-901c-55395db5c132.spold;market for electricity, high voltage;AR;electricity, high voltage
dd8d3884-7990-5971-8b43-9d8a0f788cca_6eb408db-980a-4b9e-82a8-b6dca183ec35.spold;softwood forestry, mixed species, sustainable forest management;CH;pulpwood, softwood, measured as solid wood under bark
2e53f144-0727-5c8f-acff-2cc0274911d3_88b55703-3dd1-44c5-8a55-3d89d5019e5d.spold;natural gas liquids fractionation;GLO;ethane
b330b6db-14f2-5271-a3f1-880d48198c1b_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, production mix;CN-CSG;electricity, high voltage
955b7176-ac19-5f02-9907-050aaa1664b4_c3fd9530-3e9b-44b5-8833-9e544937a6e9.spold;packaging glass production, white;DE;packaging glass, white
ab81adf2-ef55-5766-a5f2-7c986dd667e3_795369c8-09eb-439f-9321-15c0d3be6a6f.spold;synthetic gas production, from wood, at fluidized bed gasifier;CH;synthetic gas
70c36110-708a-5fea-a775-c65375043106_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, wind, 1-3MW turbine, offshore;JP;electricity, high voltage
4182f859-70d0-5d77-87ff-47de81303eb7_a9007f10-7e39-4d50-8f4a-d6d03ce3d673.spold;petroleum and gas production, onshore;EC;natural gas, high pressure
98340f74-9626-5b14-b134-a3084e58ab92_4c2bb0f0-422d-4fb3-bcfe-a36ef1b55874.spold;land already in use, perennial cropland to annual crop;BR-DF;land tenure, arable land, measured as carbon net primary productivity, annual crop
a98ea0b0-81e4-5395-8509-61971a221e0f_8931016e-3e07-5c9a-91a6-cd85b90a2aaa.spold;land already in use, perennial cropland to pasture, man made;BR-AP;land tenure, arable land, measured as carbon net primary productivity, pasture, man made
53367bc5-f92d-5a5c-a6c2-a46b01c8f148_1d344632-354d-4d3f-9f6c-da038a3bd491.spold;magnesium, for reuse in hafnium sponge production, to generic market for magnesium;RoW;magnesium
a328426f-c1c5-5ace-812a-e6d2919fbdca_2d8be244-88a5-4470-a0b9-41f5d83876fe.spold;wind turbine construction, 750kW, onshore;RoW;wind turbine, 750kW, onshore
5e2df01d-eba0-526e-a342-b3003052acf4_7ee0ddc3-924d-4339-b9bf-7856af6a698f.spold;market for waste polyethylene;CZ;waste polyethylene
70753031-f608-5228-89fd-faf8ff3d3113_69b2236c-0085-4805-a883-619fc4188437.spold;treatment of spent catalyst base from ethyleneoxide production, residual material landfill;CH;spent catalyst base from ethyleneoxide production
0796090c-ef88-5c86-9624-90fa38b67780_4cfe813a-b653-4fce-bf8b-52f493545820.spold;market for rhodium;GLO;rhodium
a40a5810-ca15-581b-8c0f-c139334cd4e7_6f13ac10-76f1-42c1-a46e-7dabda411274.spold;fibre production, jute, retting;RoW;stalk
171026ed-28b1-5411-a542-0351afb6deb5_84c43f30-36fe-47a4-a9c7-848e057f65d2.spold;market for polyethylene pipe, corrugated, DN 75;GLO;polyethylene pipe, corrugated, DN 75
